PID,Social Media Post,Normalized Claim
11,"if you have migraines just put a little bit under your tongue within minutes you will feel your migraine easing up","If you have migraines just put a little bit under your tongue, within minutes you will feel your migraine easing up."
12,"there is a possibility that these common adverse reactions that are not dangerous in fitter younger patients and are not unusual with vaccines may aggravate underlying disease in the elderly","23 people in Norway died after getting the Pfizer Covid-19 vaccine."
13,"in honor of taxday i remind you that governor evers wanted to increase your taxes by 1 billion just for heating your homes instead republicans cut your taxes by more than 2 billion we want to keep more money in your pockets","Says Gov. Tony Evers ""wanted to increase your taxes by $1 billion just for heating your homes Instead, Republicans cut your taxes by more than $2 billion."" "
14,"bengali actor aindrila sharma passed away at the age of 24 in a private hospital in howrah today after suffering multiple cardiac arrests last night another effect of covid vaccine young people getting heart attacks slowly people are dying due to vaccine covidbooster","Bengali actor Aindrila Sharma die of the covid vaccine"
15,"our study found that engaging in 7 hour of mental work similar to that found in an office environment with 10 min breaks every 50 min can negatively impact cognitive efficiency suppress brain neural network activity and because mental fatigue these effects do not fully recover after a 45 h rest","A study shows short breaks during a working day cause mental exhaustion that affects a person’s focus, as well as attention, learning and visual recognition."
16,"staywoke conspiracytheory moonlanding space wakeup","Buzz Aldrin admitted the Moon landings were faked in an interview."
17,"thrilled that us_fda has granted fast track designation for our mrnabased combo vaccine candidate for influenza and covid 19 expediting the review time so we hopefully can bring this potential","Pfizer CEO Albert Bourla resigned, saying mRNA vaccines are “not safe.”
"
18,"two terrorists caught by police with courage and intelligence at dahod railway station some people and employees of the railway administration were held hostage at gunpoint by the terrorists","Two terrorists caught by police with courage and intelligence at Dahod railway station. Some people and employees of the railway administration were held hostage at gunpoint by the terrorists."
19,"working hard on the biggest tax cut in yous history great support from so many sides big winners will be the middle class business and jobs","Says the GOP plan he supports is ""the biggest tax cut in U.S. history."""
20,"flu season is coming up many people every year sometimes over 100000 and despite the vaccine die from the flu are we going to close down our country no we have learned to live with it just like we are learning to live with covid in most populations far less lethal","Sometimes 100,000 people or more die from the seasonal flu"
21,"bank strike announced on 26 th and 27 th september 28 th september is 4 th saturday 29 th is sunday 30 th half yearly closing oct 2 gandhi jayanthi holiday plan accordingly","Banks are closed continuously from 26th September 2019 to 30th September 2019."
22,"420 fraud annamalai_k","Modi inaugurated the first phase of the Ahmedabad metro project, which was already inaugurated in 2019."
23,"the facts do not lie the 2021 letter you signed was obviously drafted by railroad industry lobbyists it supports waivers that would reduce visual track inspections now will you vote to help us toughen rail safety accountability and fines or not"," ""The 2021 letter [Marco Rubio] signed was obviously drafted by railroad industry lobbyists. It supports waivers that would reduce visual track inspections.”"
24,"new variant b 11529 is named as omicron stay at home from a doctors group rsa the virus is back this time with more energy tactics and camouflage we do not cough no fever it is joint pain weakness loss of appetite and covid pneumonia of course the death rate is higher it takes less time to get to the extreme sometimes no symptoms let us be careful the strain is not domiciled in our nasopharyngeal region it directly affects the lungs which means window periods are shortened i have seen a number of patients without fever but an xray report shows moderate chest pneumonia the nasal swab is often negative for covid 19 there are more and more false pharyngeal nasal tests covid 19 which means that the virus spreads directly to the lungs causing acute respiratory distress due to viral pneumonia this explains why it has become acute and more fatal be careful avoid crowded places wear a face mask wash your hands often wave more deadly than the first so we have to be very careful and take every precaution please become an alert communicator among friends and family __________ do not keep this information to yourself share it with your family and friends please take care and stay safe","The Omicron variant cannot be detected by PCR test?"
25,"the unhcr is present in the region and they are the right mechanism by which people should apply if they do want to seek asylum in the united kingdom","People fleeing Sudan for humanitarian reasons should apply through the UNHCR if they want to seek asylum in the UK."
26,"psa this is hypercapnia it can be caused by rebreathing your own exhaled carbon dioxide by wearing a mask continuously","Wearing a mask can cause hypercapnia, by making you breathe in too much carbon dioxide."
27,"all the worlds a stage","A police car destroyed during protests in Bristol is a prop vehicle as the MOT has expired."
28,"a study found that 2 hours of silence per day promotes cell development in the hippocampus region of the brain where memories are found","Fact Check: Can remaining silent for a few hours per day promote cell growth in the human brain?"
29,"how can harris be the 1 st black woman to run for vp or person of color meet charlotta bass","Charlotta Bass was the first Black woman to run for vice president"
30,"govevers liquor stores are open strip malls can have 5 customers but dentists are nonessential vickimckenna empowerwi wiright","Says Gov Tony Evers’ administration deemed dentists non-essential"
31,"pilot pissing in the cockpit of paf f 16 said urine increases efficiency of jets told by allah in his dream","Pilot pissing in the cockpit of PAF F-16 said urine increases efficiency of jets told by Allah in his dream."
32,"it is an herbal combination that helps to strengthen your gums and completely eliminate all of the stains from your teeth","Herbal teeth whitening foams strengthen gums"
33,"it is interesting to see the memorandum of the british government through which mister gandhi became mahatma gandhi officially","It is interesting to see the memorandum of the British government through which  Mr. Gandhi became Mahatma Gandhi officially."
34,"the lady holding the bible in her hand is none other than the wife of subba reddy chairman of the world richest hindu temple tirupati dear hindus wake up before it is too late","The lady holding the #BIBLE in her hand is none other than..

The wife of Subba Reddy (Chairman of the world richest Hindu temple – Tirupati🛕)

Dear Hindu’s..

Wake up before it’s too late🙏"
35,"we have bought the moderna which protects you against both covid and flu which is a good thing so get that booster in place this isn","The Moderna booster vaccine protects you against both Covid-19 and flu."
36,"updated uk government assessment for pfizer covid 19 vaccine","U.K. has revoked covid vaccine for pregnant women"
37,"the benefit of the vaccine in no way outweigh the risks denmark suspends covid vaccine program after study of 23 million people raises health alarms","Denmark paused the covid vaccination program due to increased risk of myocarditis"
38,"so you are going to receive a text message on your phone if you do not reply to that text message basically the use of your phone is going to be limited so they are going to put your phone off for the day","Mobile phone networks are in breach of GDPR by providing your phone number to another agency to allow emergency alerts."
39,"landslide victory in gujarat scene from one of the strong rooms in that state bhavnagar constituency","Landslide Victory In Gujarat.

Scene From One Of The Strong Rooms In That State

Bhavnagar Constituency."
40,"this is the guy who added his infected blood to pepsi for the next few weeks do not drink any products from pepsi as a worker from the company has added his blood contaminated with hivaids brothers and sisters please this message to the people who you care","Man shown in the picture has added his HIV-infected blood to Pepsi. Do not consume Pepsi for the next few weeks"
41,"the chinese balloon has been shot down after biden called the chinese president and asked for his permission to shoot it down","Biden asked China for permission to shoot down spy balloon"
42,"unsurprisingly the only two regimes to ever regulated stargazing have been the inquisition and nygovcuomo","“State Forces Citizens to Pay for ‘Stargazing Permit’ to View Night Sky in Public Parks”"
43,"this is a rohingya family destitute on a road in delhi together with 8 children 3 wives out of which 2 are also pregnant in hand is samsung c 7 pro mobile which costs only rupees 29000 the opposition is sad to see their condition so keep paying taxes on time","This is a Rohingya family. Destitute on a road in Delhi. Together with 8 children, 3 wives, out of which 2 are also pregnant. In hand is Samsung C7 pro mobile which costs only Rs 29,000. The opposition is sad to see their condition"
44,"planned by then chief minister modi inaugurated by prime minister modi jamnagarjunagarh highway bridge collapsed within 3 months of inauguration","The collapsed ‘Jamnagar-Junagarh highway bridge’ was inaugurated by PM Modi three months ago."
45,"anything is possible with yogiraj got a job for those who smoke ganja salary more than 80 lakhs","Anything Is Possible With Yogiraj"
46,"japans dressing room after costa rica match","Japan’s dressing room after the Costa Rica match."
47,"had this floating around my family whatsapp threads looks like spam getting trough family panic and antichina paranoia about coronavirus is proving hard enough as it is","Coronavirus stays on fabric for 9 hours, so washing clothes or being exposed to the sun for two hours meets the purpose of killing it."
48,"the plane of indonesia passengers has a narrow escape","Indonesia का जहाज़ मुसाफीर के साथ बाल बाल बचा•"
49,"if you are experiencing pregnancy complications and your doctor tells you that abortion is necessary find a new doctor you and your baby deserve better abortion is never medically necessary to save the life of the mother","abortions are never medically necessary"
50,"amul 75 th anniversary click to enter to participate in the survey have a chance to win 6000 rupee","Amul 75th Anniversary! Click to enter to participate in the survey, have a chance to win 6000 Rupee!"
51,"another in a series of lies spread by modi modi","PM Narendra Modi credited first Metro service in the country to Atal Bihari Vajpayee"
52,"2020 peak active cases 9034460 vaccinated 0 2021 peak active cases 9243682 vaccinated 71 i hate to break this to you but this not a pandemic of the unvaccinated","""Peak active cases” of COVID-19 for 2020 vs. 2021 show “this is not a ‘pandemic of the unvaccinated.'"""
53,"we are going to celebrate our grand opening by doing something special for you we will be rewarding someone who has shared then commented by february 13 th with a 10 night stay for 2 people in a 4 all inclusive hotel do not worry about flights and transfers it is all included you will have 2 years to use the holiday","People who share then comment on a Facebook post will be given the chance to win a holiday."
54,"bjp has won elections in gujarat and himachal pradesh through electronic voting machine hacking ts krishnamurthy preelection commissioner","BJP has won elections in Gujarat and Himachal Pradesh through EVM Hacking: TS Krishnamurthy pre-election commissioner"
55,"aussie with the real talk","In Australia, a “17% increase in heart attack deaths” in the first eight months of 2022 is linked to COVID-19 vaccination."
56,"did you know natural cures 89 dandelion root is able to kill 98 of cancer cells within 48 hours not only that but it acts as a powerful anti inflammatory immune booster antioxidant and organ detoxifier","Dandelion root is able to kill 98% of cancer cells within 48 hours."
57,"atheist in in indian context is only a hindu non believer of his own hereditary faith but owing allegiance to other faiths that too to christianity please be informed of this clarification","Pictures of South Indian actor turned politician, Prakash Raj, have gone viral with a claim that he has become a Christian. We found that the pictures were real but not from the same context that’s shared in social media messages."
58,"not sure if he is prophesying or planning has anyone read the chapter that this passage belongs to","Thousands in Spain, Israel and Portugal have taken to the streets in protest against the effects of World Economic Forum globalism."
59,"hold off on the voting does not work doomers voting did not work previously now we are onto their schemes i ante meridiem going until the next election for president i expect this one to be a haggard mess if it does not get sorted out and accountability applied by the next one i will join you in your misery","“Joe Biden announced to the world tonight that they are going to cheat by dumping ballots.”
"
60,"i think this study is very likely to be correct i would see no reason to doubt it more importantly it is exactly what any immunologist would expect to be true","Research from Israel suggests that the Pfizer vaccine is much less protective against Covid-19 than natural immunity from catching the disease."
61,"hello my name is kane stewart i was born here in leyland june 17 1973 looking for my birth mother or father mothers name is cathy million evans and she was only 16 at time of my birth that is all information i have please help me reunite with my family by sharing","A Facebook user is searching for their birth mother or father."
62,"really bad news the baltimore house of elijah cummings was robbed too bad","""Elijah Cummings’ house was broken into after Trump publicly attacked him on Twitter."""
63,"30 minutes long but well worth a watch and just what we need great work from this fella reporting a criminal offence committed by someone in public office","The vaccines contain polysorbate 80 and that is known to cause fertility issues."
64,"this is great can post this to people that argue with me now would be great if we can find the original link though","A poster from the MHRA makes various claims about the vaccines and importance of Yellow Card reports."
65,"from 18 th june saturday last week till august 2022 this year it will be colder than previous years they call it aphelion phenomenon starting from tomorrow 0522 we will experience the aphelion phenomenon where the earth will be very far from the sun we cannot see the phenomenon but we can feel its impact this will last until august 2022 we will experience cold weather which will have an impact on flu cough shortness of breath etctherefore let us all increase immunity by drinking lots of vitamins or supplement so that our immunity will be strongthe distance from earth to sun is 5 light minutes of 90000000 km the phenomenon of aphelion to 152000000 km 66 farther protect your body from cold wear warm cloths drink vitamins and supplements to boost your immunity","Several social media posts claim the aphelion phenomenon will increase Earth’s temperature till august. We fact-checked and found the claim to be False. The aphelion phenomenon affects the duration of weather, not the intensity."
66,"officers have been subjected to considerable levels of abuse and violence one suffered a broken arm and another suffered broken ribs both have been taken to hospital","Police officers suffered broken bones at a Bristol protest."
67,"one in a hundred children will actually get sick enough with covid to be admitted to hospital","One in 100 children who catch Covid-19 get sick enough with the disease to be admitted to hospital."
68,"gosh okay i pete buttigieg politician do henceforth and forthwith declare most affirmatively and indubitably unto the ages that i do favor medicare for all as i do favor any measure that would help get all americans covered now if you will excuse me potholes await","Says that Amazon ""is literally paying zero in taxes."""
69,"regarding usps 1 usps has been losing billions for 14 straight years 2 usps services have been adjusting to covid 19 3 usps has enough liquidity to operate through mid 2021 4 the problem with mailin voting right now is that state election standards do not match usps practices","Says Ben Shapiro tweeted, “The USPS is not only a bloated and outdate government agency, it is also ineffective and incompetent. It’s been 2 months since my wife went on a Hawaii vacation with her personal trainer; she said she would send me postcards every day and so far none of them have arrived.”"
70,"antipoison there are many snakes with a very poisonous venom that kills within some hours if your a victim of snakes bites or poison just look for a cashew tree use your cutlass to get the bark of the cashew tree and chew the bark of the tree as you chew swallow the water do not swallow the chaff it will neutralize every poisonous substance from the snake even if it is an anaconda bite very effective and powerful to destroy snake venoms you can keep the bark for any emergency even if it is a dry one just soak it in water it does not spoil it can be kept for years god has blessed us with so many herbs but many do not know it","Eating cashew nut tree bark neutralize snake venom"
71,"an ultimate solution to typhoid and a blood booster sometimes because you do not pay for these remedies or because i ante meridiem not a medical doctoryou do not value the informationsome great informations does not cost you a penny and it saves lifes this is coconut peel for typhoid or to boost your blood dry it very well with sun and cook it with a pinch of potashdrink a cup morning and night check yourself withing two weeks and see how typhoid will fly away the professor 2347045240525 typhoid chronicdisease bloodbooster","coconut choir infused water can cure typhoid"
72,"there is a growing concern that a sarscov 2 related inflammatory syndrome is emerging in children in the uk","The NHS has issued a letter saying that some children infected with coronavirus have been exhibiting symptoms similar to toxic shock syndrome."
73,"thanks joe","Joe Biden Said  ""We cannot win this re-election. We can only re-elect Donald Trump."""
74,"tree carving north kashmir dogripora","Tree carved in shape of hand is located in Kashmir"
75,"100 of covid deaths in canada now due to mrna vaccine new data shows coronavirus covid 19 wuhan china disease canada death data science health facts ccp","100% of COVID-19 deaths in Canada now due to mRNA vaccine"
76,"georgia voter id 17 days of early voting colorado voter id 15 days of early voting atlanta is 51 black denver is 92 black the mlb is moving the mlballstargame out of atl which has more dayof voting rights than co the wokes are at it again folks","Georgia ""has more day-of voting rights than CO."""
77,"according to the writings of the soulless dehumanised future the wef have planned we will not need animal charities because we will cease to have pets and eat meat we will become more android in our needs i think animals are very important very special and very much appreciated as companions these soulless god players are abundant in their greed and need for power they do not want family life to exist so they fake concerns for minority groups who think they are being liberated yet their liberation draws them closer to the need for government handouts and control like moths to a flame they are drawn in the breakdown of the family unit is as essential as the breakup of nation states for their plans to come to fruition meanwhile nations like russia and china concentrate on nothing but the nation state making them stronger through trade and military capabilities our politicians are either culpable in our demise or too dumb to see it","According to the future the World Economic Forum has planned, we won't need animal charities because we'll cease to have pets and eat meat."
78,"guys if you want a 1000 gb free data on your mobile number please give a missed call on 8866288662 from your mobile number also chance to win iphone x on lucky draw offer valid till tonight do not miss the chance hurry up india","support number for free netflix data and sex chat to promote bjps caa"
79,"the facts are there are no new dentists no new contract and no new money","There are now more NHS dentists across the UK."
80,"something bad just went down near morgantown wv a moderna shipment truck crashed hazmat dispatched airspace shut down and now apparently emergency response is claiming the department of defense took it over","“Near Morgantown, WV, a Moderna shipment truck crashed, hazmat dispatched, airspace shut down and now apparently Emergency Response is claiming the Department of Defense took it over.”"
81,"in 1928 walt disney created mickey mouse nobody could have predicted the impact mickey would have nearly a century later he is still the walt disney companys dominant figure and the face of disney however in 2024 figment will take over as the official disney mascot from mickey mouse the decision to remove mickey mouse as disneys official mascot was motivated primarily by legal concerns mickey mouses copyright protection is set to expire in january 2024 this means that mickey mouse will be in the public domain and anyone will be able to use him disneys famous mouse will no longer have the same level of legal protection via mousetrapnews","The claim: Mickey Mouse will be replaced as the official Disney mascot"
82,"the effects seen in observational studies of mask wearing will be confounded by other protective behaviours not accounted for during adjustment","Mask-wearing cuts Covid incidence by 53%, says global study."
83,"the respect aap has eared in 3 months great insult","Seems to have earned good respect in 3 months"
84,"covid came from snake venom","Covid originated from snake venom"
85,"turmeric and lemon are two simple cheap and handy things you can use regularly to fight coronavirus homemade rasam is also very useful","Turmeric and lemon help fight against coronavirus"
86,"under no circumstance should our disinfectant products be administered into the human body through injection ingestion or any other route","Dettol antiseptic spray says it kills human coronavirus."
87,"wow report just out google manipulated from 26 million to 16 million votes for hillary clinton in 2016 election this was put out by a clinton supporter not a trump supporter google should be sued my victory was even bigger than thought judicialwatch","""Wow, Report Just Out! Google manipulated from 2.6 million to 16 million votes for Hillary Clinton in 2016 Election!"""
88,"argos is selling 100 electric scooters at a special price this week get in on the action all that is left to do is pay for shipping find out or you are in luck","Argos is offering electric scooters and air fryers for £3 in a time-limited deal."
89,"this is what the leader of our country just said about the fing energy crisis","Boris Johnson suggested buying a new kettle to save £10 a year on energy bills."
90,"no need of angioplasty or bypass natural therapy for opening the veins of heart lemon juice 1 cup ginger juice 1 cup garlic juice 1 cup apple vinegar 1 cup 0 dallyllealtm 1 gen mix all above and boil in light flame when if become three cupstake it off and cool down now mix it with 3 cups of natural honey and keep it in a clean bottle how to take take one tablespoon of this juice daily before breakfast your blockage from veins will disappears slowly","home remedies can replace angioplasty or bypass surgery"
91,"public health warning issued for fluoride toothpaste avoid these brands at all costs link below","A “public health warning” was recently issued for fluoride toothpaste."
92,"news post","President Donald Trump nominated himself to the Supreme Court"
93,"less than 100 people have died directly from corona virus in ireland it is not a pandemic if it was that bad do you think leo would be in the pheonix park with friends this is a scam","Fewer than 100 people have died directly from Covid-19 in Ireland"
94,"people need to understand that a tumour is there to save your life when your body is full of poison toxaemic and acidosis and you are basically going to die of that poison your body builds a bag and collects all of that poison from your body in this bag which they call a tumour","A tumour is a bag that collects poison from your body. A needle biopsy explodes the tumour and pours poison into the body, giving you cancer."
95,"so they want us to believe that the same states that republican senators won are too close to call for the republican president fraud","The election is fraudulent because states that won Republican Senate seats can’t yet be called for a Republican president"
96,"i want you to truly understand that currently there is a 100 false positive rate because what the polymerase chain reaction is looking for is something that nobody knows","PCR tests for Covid-19 have a 100% false positive rate."
97,"rest in peace mino","“Italian football agent Mino Raiola has died after suffering from an illness.”
"
98,"you science is politics all the rcts show no or essentially no effect for cloth or surgical masks and an understanding of aerosols shows why the vaccines are poor and unnecessary for most people as they have low risks andor natural immunity ventilation works","masks are ineffective and vaccines unnecessary for most of the people"
99,"yous health and human services director xavier becerra said covid vaccines are killing people of color at twice the rate of white people","After the U.S. Health and Human Services Director Xavier Becerra claimed that covid vaccines are killing people of colour, several social media users have shared an article that covered the news. We fact-checked and found the claim to be False."
100,"mukhtar abbas naqvi changed his religion","Mukhtar Abbas Naqvi changed his religion"
101,"an angry ranbir kapoor throws fans phone as he tries to click selfie watch tnshorts","An Angry Ranbir Kapoor Throws Fan’s Phone As He Tries To Click Selfie – Watch"
102,"these cucks actually think we are going to let them do this they just united the population of three seperate countries to stand together against them","The claim: President Joe Biden signed away US sovereignty"
103,"get periods in 12 days with these home remedies","you can induce menstrual periods early with home remedies"
104,"did you know while brushing in the morning brush your teeth with the help of that hand which you do not use for writing doing this will wake you up and make you feel refreshed much faster than usual","According to an Instagram post, brushing teeth with a non-dominant hand may improve brain function. We verified that the claim overestimates the benefits of brushing with the non-writing hand. Since, brushing with the non–dominant hand would compromise oral hygiene. Thus, our findings suggest that the assertion is Mostly False."
105,"there is no plausible mechanism by which any vaccine ingredient could pass to your baby through breast milk","Vaccines are incompatible with human life, and being vaccinated while pregnant or breastfeeding may be unsafe."
106,"fauci is now saying that had trump listened to the medical experts earlier he could have saved more lives fauci was telling people on february 29 th that there was nothing to worry about and it posed no threat to the us public at large time to firefauci","Says of COVID-19 that Dr. Anthony Fauci ""was telling people on February 29th that there was nothing to worry about and it posed no threat to the US public at large."""
107,"so sad a newborn found in swansea dumpster this morning at 4 am we will keep you posted when we know more currently baby is alive but is critical pray for this newborn as the doctors work to save his life investigators are searching for the parents of the baby contact the authorities if you have any information regarding this sic","A newborn baby boy has been found in a Swansea dumpster in February 2023."
108,"liz truss does not like this response from her dad please do not retweet copy or like","Liz Truss’s father has tweeted saying she could not tie her shoelaces until she was 12, and asking her to “turn against fascism”."
109,"double l mc out on the streets sharing his findings well worth watching double l mc has broken down and made the connections for you to see as clear as possible his podcasts rise above on youtube are enlightening to those who still need more information about what is going on in the world right now and worth checking out it is up to you to expand your knowledge or to at least look at things from a different angle when your future is on the line humans can and do change when faced with precipitous decisions respect and thanks to my good friend clarkie for sharing","The Pirbright Institute has the main patent for coronavirus, which was granted by Serco."
110,"huge procession in support of cab in maharashtra and himachal pradesh which media people will not show you","Images of people in Himachal Pradesh and Maharashtra rallying in support of the Citizenship Amendment Bill (CAB)."
111,"the united states was supposed to be in syria for 30 days that was many years ago we stayed and got deeper and deeper into battle with no aim in sight when i arrived in washington isis was running rampant in the area we quickly defeated 100 of the isis caliphate","Says ""thousands"" of captured ISIS fighters are ""mostly from Europe."""
112,"those abused girls in rotherham and elsewhere just need to shut their mouths for the good of diversity","Those abused girls in Rotherham and elsewhere just need to shut their mouths. For the good of diversity"
113,"myelderly sic cousin who is 77 years old lives alone in london sic borough of enfield he has two bedrooms and receives a 25 discount for a single persons sic allowance he has received a call from enfield borough council asking him to take in a ukrainian family he has said he does not want to they have said do you realise we can force you to do it he said if you force me to share my i would rather burn it down sic he has worked all his life to pay for a small two bedroom house which sometimes the odd family member stays in the spare bedroom as he is elderly they said if you do not like what we are saying as he expressed his views they said we can take your 25 allowance away from you","An elderly man was told by Enfield council that his single occupier council tax discount could be removed if he didn’t house a Ukrainian family in his spare room."
114,"there is a supreme court order for those who take care of stray dogs in the cases of stray dogs roaming on the road and biting people the supreme court said only those who feed stray dogs should get them vaccinated and also bear the cost of treatment if someone bites them","Supreme Court made an order on animal feeders liable for stray dog bites"
115,"these days nothing better for imran khan to take break from noisy politics and spend time with his lovely sons they in lahore to give a long over due hug to their dad i wish that remarkable character khans exwife jemima_khan had came along qasim sulaiman to lahore","These days nothing better for Imran Khan to take break from noisy politics and spend time with his lovely sons, they in Lahore to give a long over due hug to their Dad. I wish that remarkable character Khan’s Ex-Wife @Jemima_Khan had came along Qasim Sulaiman to Lahore"
116,"antipoison there are many snakes with a very poisonous venom that kills within some hours if your a victim of snakes bites or poison just look for a cashew tree use your cutlass to get the bark of the cashew tree and chew the bark of the tree as you chew swallow the water do not swallow the chaff it will neutralize every poisonous substance from the snake even if it is an anaconda bite very effective and powerful to destroy snake venoms you can keep the bark for any emergency even if it is a dry one just soak it in water it does not spoil it can be kept for years god has blessed us with so many herbs but many do not know it","Eating cashew nut tree bark neutralize snake venom"
117,"turn it off people they are taking control of your exactly sic location","The emergency alert allows the government to take control of your exact location."
118,"this would not be possible if not for the strong support given the state by flyairpeace and overlandairways who fly daily to and from lagos and abuja respectively we continue to appreciate your support in our drive to developondo","Airpeace and Overland fly daily into Akure Airport to and from Lagos and Abuja respectively."
119,"forwarded as received the government is proposing a bill by which if the bank is having financial difficulties then they can ask depositors to take a hit the finance ministry have got a bill approved by the cabinet called the financial resolution and deposit insurance frdi bill 2017","Preparation to table FRDI Bill in Parliament"
120,"deadly amboli ghat and falls","Deadly Amboli ghat & falls"
121,"kentucky fried chicken lost its case after years of trying to claim it was 100 chicken the company was found guilty of only 15 of it being chicken and the remaining 85 not good for human consumption only for dogs the islamic judicial council withdrew its guarantee certificate as it was also found that the spice","US court said KFC is unfit for humans"
122,"report dominion deleted 27 million trump votes nationwide data analysis finds 221000 pennsylvania votes switched from president trump to biden 941000 trump votes deleted states using dominion voting systems switched 435000 votes from trump to biden","Dominion Voting Systems deleted votes for Donald Trump, switched votes to Joe Biden"
123,"i have a buddy in france and they just had an election there polls closed a few hours ago and they already know who the winners are must be nice to live in a first world country","In France ""polls closed a few hours ago and they already know who the winners are."""
124,"shahrukh khan is supporting owaisi hindus must come together","Shahrukh Khan wore Owasi’s party’s T shirt"
125,"the economy under this conservative government has grown by 73","In January 2020, the economy had grown by 73% under the Conservative government."
126,"if our government falls i will set the nation on fire yogi adityanath","Yogi Adityanath threatens to set the nation on fire if his govt is voted out"
127,"marvel at the huge ancient skeletons found","Marvel at the huge ancient skeletons found"
128,"black worms in masks and covid swabs i think they are nanoparticals or nanobots but be interesting to find out what they are and do experiments on them like using magnets or something","Fibres from face masks and test swabs are evidence of parasites."
129,"doctor judy mikovits may the world start listening to these brave and courageous doctors","The spike proteins generated by the body in response to the Covid-19 vaccines make people a ticking time bomb for cancer, blood clots and other ailments."
130,"study of 145 countries finds sharp rise in virus transmission and death after introduction of covid vaccines","Data from 145 countries shows that deployment of Covid-19 vaccines causes an increase in Covid-19 cases and deaths."
131,"just digest this for a moment a minority of only 16 have achieved all this in only a few yearsplanned from the start you do the projections","There are four million Muslims out of the 66 million in the population, which amounts to 16% of the population."
